entry_time,direction,entry_price,entry_action,PDH,PDL,first_break_above_PDH,first_break_below_PDL,break_above_PDH,break_below_PDL,near_PDH,near_PDL,bias_long,bias_short,trend_1h_up,trend_4h_up,is_rth,is_eth,setup_type,bias_alignment,valid_long_zone,valid_short_zone,allowed_long_entry,allowed_short_entry,entry_rule_trigger,blocked_reason,exit_time,exit_price,pnl,exit_action,exit_reason
2025-03-10 10:20:00-04:00,SHORT,5671.25,2,5791.0,5673.0,0,1,0,1,0,1,0,1,0,0,1,0,first_breakdown_below_PDL,aligned,0,1,0,1,short_breakdown_context,,2025-03-10 15:34:00-04:00,5636.0,-855.0,0,stop_loss
2025-03-10 15:35:00-04:00,SHORT,5635.0,2,5791.0,5673.0,0,0,0,1,0,0,0,1,0,0,1,0,breakdown_below_PDL,aligned,0,1,0,1,short_breakdown_context,,2025-03-10 15:44:00-04:00,5606.75,1407.5,2,take_profit
